second,id,parent,node,organism_parent,lineage,x,y,role,energy
4,2,0,4,4294967295,3,-10.8361,10.0603,0,0.887255
4,2,4,5,4294967295,3,-9.80951,9.07385,0,0.959829
4,2,5,6,4294967295,3,-8.56842,8.47997,0,0.995996
4,2,6,7,4294967295,3,-7.85091,7.34981,0,0.983753
4,2,7,8,4294967295,3,-6.84517,6.42866,0,0.969229
4,3,-1,0,4294967295,4,3.40814,1.59183,1,0.676984
4,3,0,1,4294967295,4,3.52764,2.72388,8,1.32429
4,3,1,2,4294967295,4,3.73894,3.71553,3,0.941606
4,3,0,3,4294967295,4,2.39367,1.19542,8,1.22887
4,3,3,4,4294967295,4,1.44537,0.953769,3,0.877293
4,3,0,5,4294967295,4,4.35858,1.04578,8,1.18863
4,3,5,6,4294967295,4,5.20726,0.543071,3,0.750905
4,5,-1,0,1,2,12.2256,-10.2912,1,0.522628
4,6,-1,0,2,3,-11.5774,10.1257,1,0.468855
4,7,-1,0,3,4,3.09082,0.807008,1,0.479576
4,5,0,1,1,2,11.3447,-10.2391,4,0.511176
4,6,0,1,2,3,-11.5913,9.07522,4,0.468872
4,7,0,1,3,4,2.57862,-0.207784,8,0.900937
4,4,-1,0,0,1,-12.326,-9.15072,1,0.5092
4,5,1,2,1,2,12.4369,-11.0257,3,0.504319
4,6,1,2,2,3,-10.3319,9.53981,3,0.483456
4,7,1,2,3,4,2.07272,-1.08971,3,0.696284
5,0,-1,0,4294967295,1,-12.8118,-8.51134,1,0.467065
5,0,0,1,4294967295,1,-11.9841,-8.35002,8,1.381
5,0,0,2,4294967295,1,-13.3345,-7.85759,8,1.40493
5,0,0,3,4294967295,1,-13.1892,-9.25143,8,1.43647
5,1,-1,0,4294967295,2,13.2826,-9.7486,1,0.190483
5,1,0,1,4294967295,2,13.995,-9.08932,4,0.560805
5,1,1,2,4294967295,2,12.7755,-9.20945,3,0.643284
5,1,1,3,4294967295,2,14.1332,-10.3763,3,0.725761
5,2,-1,0,4294967295,3,-11.6553,11.2086,1,0.60869
5,2,0,1,4294967295,3,-12.4694,11.8848,4,0.862508
5,2,1,2,4294967295,3,-12.3711,10.572,3,0.93777
5,2,1,3,4294967295,3,-11.272,12.4203,3,0.980945
